frame,timestamp,rx,ry,rz,ax,ay,az
0,0.0,0.70200925278,0.09214537233,-0.70573767825,-0.00439453125,0.927734375,0.3828125
1,0.017,0.95927061021,-0.20293287201000001,-0.71692295466,-0.0029296875,0.80078125,0.40966796875
2,0.033,1.1398329294,0.13262542029000002,-0.7403587719000001,0.01904296875,0.78955078125,0.48388671875
3,0.05,1.27991520063,0.41278996275,-0.7185208512900001,-0.0029296875,0.869140625,0.4287109375
4,0.067,1.2980246957700001,0.53689326768,-0.7850998775400001,0.00390625,0.92724609375,0.46142578125
5,0.083,0.94755270159,0.73556508201,-0.9853695885000001,0.0439453125,0.990234375,0.439453125
6,0.1,0.62211442128,0.60560282277,-1.04715492486,0.05224609375,1.04833984375,0.38427734375
7,0.117,0.57257962575,-0.35366778744000005,-0.7755124977600001,-0.0185546875,0.90869140625,0.37841796875
8,0.133,0.013315805250000002,-0.45699843618,0.36112463838000003,-0.091796875,0.9462890625,0.3349609375
9,0.15,0.013848437460000002,-0.6604639404,0.45699843618,-0.08203125,0.9189453125,0.39013671875
10,0.167,-0.34035198219,-0.46179212607000003,0.59015648868,-0.0390625,0.94580078125,0.35986328125
11,0.183,-0.5060005995,-0.38136466236000005,0.6285060078,-0.05810546875,0.94189453125,0.3515625
12,0.2,-0.37071201816000005,-0.5075984961300001,0.54967644072,-0.0546875,0.9091796875,0.40283203125
13,0.217,-0.31052457843000003,-0.60507019056,0.25140240312,-0.07177734375,0.8720703125,0.38818359375
14,0.233,0.15126754764,-0.65567025051,0.20719392969,-0.0849609375,0.89404296875,0.3974609375
15,0.25,0.18162758361,-0.97311904767,0.37657097247000004,-0.060546875,0.8525390625,0.44775390625
16,0.267,-0.2503371387,-1.08816760503,0.54967644072,-0.03076171875,0.85205078125,0.43359375
17,0.28300000000000003,-0.19441075665000002,-0.82504729329,0.7291734954900001,-0.0322265625,0.82177734375,0.4716796875
18,0.3,-0.13582121355000001,-0.8516789037900001,0.5528722339800001,0.06005859375,0.8955078125,0.451171875
19,0.317,0.0798948315,-0.38242992678000004,0.31105721064,0.078125,0.9091796875,0.43212890625
20,0.333,0.23382554019000001,-0.43036682568,0.25513082859,0.04541015625,0.83984375,0.4912109375
21,0.35000000000000003,0.56032908492,-0.66951868797,-0.06924218730000001,-0.0263671875,0.81103515625,0.55859375
22,0.367,0.50333743845,-0.16831177836,-0.5219795658,0.01025390625,0.81787109375,0.5537109375
23,0.383,0.30732878517,0.47564056353,-0.56885120028,-0.025390625,0.837890625,0.49560546875
